GameRulesetName,Id
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_-_Both_Extensions_Joined_Diagonals_Suggested,1918
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_-_Both_Extensions_No_Joined_Diagonal_Suggested,1919
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_1_-_Top_Extension_Joined_Diagonal_Suggested,1920
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_2_-_Top_Extension_Joined_Diagonal_Suggested,1921
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_1_-_Top_Extension_No_Joined_Diagonal_Suggested,1922
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_2_-_Top_Extension_No_Joined_Diagonal_Suggested,1923
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_-_Top_Extension_No_Joined_Diagonal_-_Starting_Position_3_Suggested,1925
Main_Tapak_Empat,872
Manu,1109
Mao_Naga_Tiger_Game,1096
Merimueng-rimueng-do,395
Merimueng-rimueng,752
Musinaykahwhanmetowaywin,721
Mysore_Tiger_Game_Three_Tigers,1128
Mysore_Tiger_Game_Two_Tigers,1129
Mysore_Tiger_Game,1127
Neg_Tugal_Tuux,1016
Nuktagaq,1227
Orissa_Tiger_Game_Four_Tigers,913
Orissa_Tiger_Game_One_Tiger,914
Pon_ChochotlMurray_Suggested,396
Pulijudamu,1140
Refskak,816
Renard_et_les_PoulesRenard_et_les_Poules_Described,988
Renard_et_les_PoulesOrthogonal_Fox_Described,989
Renard_et_les_PoulesOrthogonal_Fox_Diagonal_Capture_Described,990
Rimau-Rimau_One_Tiger,980
Rimau-Rimau_Two_TigersRimau-Rimau_Two_Tigers_Observed,981
Rimau-Rimau_Two_TigersTigers_on_Central_Point_Observed,982
RimoeRimoe_Observed,806
RimoeTwo_Rimoe_Observed,807
Sher_Bakar,712
Sher_Bakr,897
Shi_Liu_Kan_Tsiang_Kun,169
Shui_Yen_Ho-Shang,291
Sumi_Naga_Game_Hunt,970
Three_Musketeers,1242
To_Kinegi_tou_LagouTo_Kynegi_tou_Lagou_Observed,1166
To_Kinegi_tou_LagouRabbit_Wins_One_Round_Suggested,1960
Uxrijn_Ever,1015
Wolf_and_Sheep,40
Wolf_und_Schaaf,1075
Yaguarete_Kora,1403
Yeung_Luk_Sz_Kon_Tseung_KwanYeung_Luk_Sz_Kon_Tseung_Kwan_Described,171
Yeung_Luk_Sz_Kon_Tseung_KwanMurray_Suggested,709
20_SquaresSeleucid_Scholarly,35
58_HolesCarnarvon_and_Carter_Suggested,36
58_HolesCarter_Unmarked_Suggested,2003
58_HolesCarter_Marked_Holes_Suggested,2004
58_HolesCarter_Crossover_1_Suggested,2005
58_HolesCarter_Crossover_2_Suggested,2006
58_HolesCarter_Crossover_3_Suggested,2007
58_HolesCarter_Crossover_4_Suggested,2008
58_HolesCarter_Crossover_5_Suggested,2054
58_HolesTab_Unmarked_Suggested,2009
58_HolesTab_Marked_Throw_Suggested,2010
58_HolesTab_Marked_Safe_Suggested,2011
58_HolesTab_Parallel_Connections_Suggested,2012
58_HolesTab_Crosssover_1_Suggested,2013
58_HolesTab_Crossover_2_Suggested,2014
58_HolesTab_Crossover_3_Suggested,2015
58_HolesTab_Crossover_4_Suggested,2016
58_HolesTab_Crossover_5_Suggested,2055
58_HolesCarnarvon_and_Carter_D6_Suggested,2025
58_HolesCarter_Unmarked_D6_Suggested,2026
58_HolesCarter_Marked_Holes_D6_Suggested,2024
58_HolesCarter_Crossover_1_D6_Suggested,2027
58_HolesCarter_Crossover_2_D6_Suggested,2028
58_HolesCarter_Crossover_3_D6_Suggested,2029
58_HolesCarter_Crossover_4_D6_Suggested,2030
58_HolesCarter_Crossover_5_D6_Suggested,2056
58_HolesCarter_and_Carnarvon_D4_Suggested,2057
58_HolesCarter_Unmarked_D4_Suggested,2058
58_HolesCarter_Crossover_1_D4_Suggested,2059
58_HolesCarter_Crossover_2_D4_Suggested,2060
58_HolesCarter_Crossover_3_D4_Suggested,2061
58_HolesCarter_Crossover_4_D4_Suggested,2062
58_HolesCarter_Crossover_5_D4_Suggested,2063
58_HolesCarter_Marked_Holes_D4_Suggested,2064
58_HolesTab_Unmarked_D4_Suggested,2065
58_HolesTab_Marked_Throw_D4_Suggested,2066
58_HolesTab_Marked_Safe_D4_Suggested,2067
58_HolesTab_Parallel_Connections_D4_Suggested,2068
58_HolesTab_Crossover_1_D4_Suggested,2069
58_HolesTab_Crossover_2_D4_Suggested,2070
58_HolesTab_Crossover_3_D4_Suggested,2071
58_HolesTab_Crossover_4_D4_Suggested,2072
58_HolesTab_Crossover_5_D4_Suggested,2073
58_HolesTab_Unmarked_D6_Suggested,2074
58_HolesTab_Marked_Throw_D6_Suggested,2075
58_HolesTab_Marked_Safe_D6_Suggested,2076
58_HolesTab_Parallel_Connections_D6_Suggested,2077
58_HolesTab_Crossover_1_D6_Suggested,2078
58_HolesTab_Crossover_2_D6_Suggested,2079
58_HolesTab_Crossover_3_D6_Suggested,2080
58_HolesTab_Crossover_4_D6_Suggested,2081
58_HolesTab_Crossover_5_D6_Suggested,2082
Ashta-kashteFalkener_Described,198
AshtapadaKile_Suggested,172
Asi_Keliya,749
Backgammon,76
Baralie,1112
Bargese,868
Barjis,864
Buffa_de_Baldrac,1209
Cab_e_QuinalCab_e_Quinal_Described,732
Cab_e_QuinalFixed_Die_Described,733
Chaupar,200
Contrare_Puff,1078
Doblet,724
Dodgem,1260
Dubblets,820
El_Mundo,736
Emperador,729
Fallas,727
Fevga,175
Frangieh,1060
Garanguet,1123
GhingskootQuince_Described,204
Grand_Trictrac,196
Had,769
Imperial,1113
Jacquet_de_Versailles,1121
Jacquet,1122
Julbahar,1064
Kawade_Kelia,976
Ketch-Dolt,819
KintsKints_Observed,705
Kiz_Tavlasi,1079
Knossos_GameHillbom_Scholarly,183
Kolica_Atarakua,330
Kotra,818
Lange_Puff,1077
Laquet,735
Len_Doat,986
Los_Doze_Canes,725
Ludus_AnglicorumLudus_Anglicorum_Described,1116
Ludus_Lombardorum,1120
Mahbouseh,1062
Medio_EmperadorMedio_Emperador_Described,730
Mughrabieh,1061
Myles,1114
NamaNama_Observed,1194
Nard,149
NyoutNyout_Described,203
NyoutFour_players._Described,677
NyoutThree_players_Described,675
Ofanfelling,815
Pachesi,895
Pachih,751
PachisiWikipedia_Described,147
Pagade_Kayi_Ata_Sixteen-handedSIxteen-handed_Described,653
Pahada_Keliya,748
Pancha_Keliya,201
Panchi,1125
Pareia_de_EntradaPareia_de_Entrada_Described,731
Paumecary,814
PetolPetol_Described,329
Piprjall,997
Plakoto,176
Portes,603
Provincial,1115
Quinze_Tablas,726
Romavoa,173
Royal_Game_of_UrFinkel_Scholarly,77
Royal_Game_of_UrMurray_Suggested,655
Schuster,1208
SenetKendall_Scholarly,922
SenetKendall_Five_Pieces_Scholarly,923
SenetKendall_Trap_Scholarly,925
SenetKendall_Home_Row_Scholarly,926
SenetKendall_Starting_Throw_Scholarly,924
SenetKendall_Trap_Home_Row_Scholarly,932
SenetKendall_Five_Pieces_Starting_Throw_Scholarly,927
SenetKendall_Starting_Throw_Trap_Scholarly,930
SenetKendall_Starting_Throw_Home_Row_Scholarly,931
SenetKendall_Five_Pieces_Trap_Scholarly,928
SenetKendall_Five_Pieces_Home_Row_Scholarly,929
SenetKendall_Five_Pieces_Starting_Throw_Home_Row_Scholarly,936
SenetKendall_Five_Pieces_Trap_Home_Row_Scholarly,935
SenetKendall_Five_Pieces_Starting_Throw_Trap_Scholarly,933
SenetKendall_Starting_Throw_Trap_Home_Row_Scholarly,934
SenetKendall_All_Options_Scholarly,937
SenetBell_Suggested,529
SenetPiccione_Scholarly,938
SenetJequier_Scholarly,939
Seys_Dos_y_As,728
Sokkattan,22
Ssang-Ryouk,1045
Svensk_Bradspel,1514
Tables_Rabbatuees,1047
Tavli,605
Tawula,177
Tayam_Sonalu,750
Thaayam,1126
Todas_Tablas,734
TokkadilleTokkadille_Described,1076
Tsun_Ki,202
Tugi-Epfe,141
Uturu_Uturu_KaidaUturu_Uturu_Kaida_Observed,1193
